SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6000,California,43,      Other transportation and support activities,7560.1,8107.1,7866.9,9079.8,9675.1,10224.6,10546.3,11470.2,12873.6,13609,12816.7,13254.6,11576.2,12289.1,12659.7,12779.4,13800.6,14665.4,16610.1,17400.6,18767.2,20018.1,21707.1,25553.6,34450.2,34387.3,33314.1,33572
6000,California,44,      Warehousing and storage,2793.4,3289.6,3322.2,3452.5,3141.1,3105.2,3343.6,4041.2,4444,4759.9,4866.7,5481.2,5339.8,5300.8,5123.6,5287.8,5374.8,5332.1,6062,6716.9,7609,8996.9,10136.5,12137,15603.1,17989,17998.6,20223.2
6000,California,45,    Information,64087.5,72491.2,88683.1,85112.4,92910.3,100908.8,105262,117361,120154.6,127436.5,137743.3,142564.3,131685.6,148442.2,153745.3,156466.2,189866.8,198553.8,225512,247746.3,271436.3,277743.3,305625.2,322465.8,364889.1,365930.1,397170.1,441338.5
6000,California,46,      Publishing industries (except Internet),10789.4,12130.8,16983.6,15839.4,16327.1,18687.2,20083.4,23575.4,24147.7,23873.9,27346.8,27890.3,25331.4,28340.5,30956.8,32822.4,36572,40009.1,46156.9,47991.3,54658,57693.3,66754.2,72401.1,83546.5,82474.5,93320.6,100695.2
6000,California,47,      Motion picture and sound recording industries,23236.4,27476.5,32476.4,27891.1,34613.2,39352.2,39627,39886.3,36008.5,38195.3,41363.1,45448.1,43027.1,49070.5,44731.1,42272.3,41942.4,41723.4,46285.8,49794.9,51395.3,48386.1,44302.3,39862,44521,57286.2,56381.2,59366.9
6000,California,48,      Broadcasting (except Internet) and telecommunications,26578.6,27865.6,34028.4,34368,33810.2,32993.6,34549.4,38686.1,43332.3,45737.9,52985.8,50720.2,44122,47734,50019.1,53340.2,60690.6,61494.7,69097.1,73922.1,73366.5,74111.8,81848.7,79439.5,81651.7,72388.9,77380.7,83917.1
6000,California,49,"      Data processing, hosting, and other information services",3483.1,5018.3,5194.8,7014,8159.8,9875.7,11002.2,15213.3,16666.1,19629.4,16047.6,18505.7,19205.1,23297.3,28038.3,28031.3,50661.8,55326.5,63972.2,76038.1,92016.5,97552.1,112720,130763.2,155169.8,153780.5,170087.6,197359.3
6000,California,50,"    Finance, insurance, real estate, rental, and leasing",207142.6,221489,234362.5,247921.7,267180.8,285216.6,296937.8,298977,325211,344636.8,360925.5,366458.1,376259,385680.8,399485.3,423236.2,436802.2,454116.3,466190.7,478439.2,507443,538503.1,565043.5,581858.1,644710.9,672228.2,716573.6,749145
6000,California,51,      Finance and insurance,44527.3,53247.3,56757.5,62850.2,74160,81616.7,89187.8,85055.3,93058.7,103089.9,97995.8,80912.2,92453.1,93638.2,98600.8,112184,112410.2,122055.3,128033.8,129627.8,135161.3,139993.1,144690.3,151679.7,180783.2,172570.9,174615.8,173390.1
6000,California,52,"        Monetary Authorities- central bank, credit intermediation, and related services",13330.9,19792.8,22118.8,24404.5,28459,38013.6,44138.4,34187.8,36339,40618.4,40761.7,41598.2,41718.1,44622.8,51998.8,56268.3,54323.2,60666.9,63506.5,63907.2,60002.9,62741.8,67825.2,70458,91296.6,82269,83068.1,79236.6
6000,California,53,"        Securities, commodity contracts, and other financial investments and related activities",11573.7,12215.6,12777.3,14980,22190.3,19039.3,16615.7,17919.1,22213.2,24751.2,21260.2,9767.4,20026.5,20051.1,16662.5,24250.3,26441.4,23948.6,24354.8,28554.8,34300.6,34838.2,32869,39664.1,44603.9,43979.2,43970.9,44708
6000,California,54,        Insurance carriers and related activities,19322.4,20724.2,21289.2,22865.4,23030.2,23914.1,27376.5,31825.8,33699.2,34773.7,34578.9,29275.9,30553.2,28815.8,29903.8,31546.7,31502.4,36695.5,39535.2,36473,40149.7,42294.1,43628.6,41232.7,41591,44011.1,44951.6,46663
